holiday,temperature,rain,snow,clouds,weather_condition,weather_description,datetime,station_name,traffic_volume
True,-8.6,0.0,4.4,71,Snow,Snow Showers,2024-01-06T03:00:00,Station D,675
False,8.9,6.9,0.0,28,Rain,Heavy Rain,2024-01-06T04:00:00,Station C,876
False,-3.1,0.0,0.0,17,Clear,Clear skies,2024-01-06T05:00:00,Station A,726
False,14.1,0.0,0.5,8,Snow,Heavy Snowfall,2024-01-06T06:00:00,Station B,1216
True,-5.3,0.0,0.0,21,Clear,Sunny,2024-01-06T07:00:00,Station C,1182
False,-1.0,0.0,0.0,23,Clear,Sunny,2024-01-06T08:00:00,Station D,840
True,13.6,4.5,0.0,84,Rain,Light Rain,2024-01-06T09:00:00,Station B,804
True,-2.9,0.0,2.7,50,Snow,Snow Showers,2024-01-06T10:00:00,Station C,1029
False,3.9,0.0,0.0,26,Cloudy,Overcast,2024-01-06T11:00:00,Station B,1411
False,22.3,0.0,0.0,64,Cloudy,Overcast,2024-01-06T12:00:00,Station C,989
True,-7.1,0.0,0.0,57,Cloudy,Mostly Cloudy,2024-01-06T13:00:00,Station A,867
False,10.8,0.0,0.5,58,Snow,Snow Showers,2024-01-06T14:00:00,Station C,1373
False,27.1,0.0,2.1,78,Snow,Snow Showers,2024-01-06T15:00:00,Station C,417
True,15.6,0.0,0.0,89,Cloudy,Overcast,2024-01-06T16:00:00,Station D,855
True,14.2,6.7,0.0,80,Rain,Heavy Rain,2024-01-06T17:00:00,Station B,186
False,-6.6,0.0,0.0,47,Clear,Clear skies,2024-01-06T18:00:00,Station D,265
False,-0.7,0.0,0.0,32,Cloudy,Overcast,2024-01-06T19:00:00,Station D,141
True,5.5,0.0,1.0,48,Snow,Snow Showers,2024-01-06T20:00:00,Station A,127
False,20.2,0.0,0.0,41,Cloudy,Partly Cloudy,2024-01-06T21:00:00,Station A,1000
True,19.6,0.0,0.0,70,Clear,Clear skies,2024-01-06T22:00:00,Station A,946
True,27.7,0.0,0.0,21,Cloudy,Overcast,2024-01-06T23:00:00,Station C,1293
True,23.4,0.0,0.0,68,Clear,Bright day,2024-01-07T00:00:00,Station C,394
True,9.8,1.8,0.0,19,Rain,Heavy Rain,2024-01-07T01:00:00,Station A,120
True,21.1,0.0,0.0,49,Clear,Bright day,2024-01-07T02:00:00,Station A,959
True,7.0,0.0,0.0,98,Clear,Clear skies,2024-01-07T03:00:00,Station A,463
True,-9.3,0.0,0.0,11,Cloudy,Partly Cloudy,2024-01-07T04:00:00,Station B,107
True,33.1,0.0,0.0,28,Clear,Bright day,2024-01-07T05:00:00,Station B,247
False,13.1,0.0,0.0,53,Clear,Bright day,2024-01-07T06:00:00,Station B,719
True,7.8,0.0,0.0,69,Cloudy,Overcast,2024-01-07T07:00:00,Station B,926
False,4.6,0.0,0.0,45,Clear,Bright day,2024-01-07T08:00:00,Station B,80
True,-0.4,0.0,0.0,49,Clear,Bright day,2024-01-07T09:00:00,Station C,500
False,-7.0,2.2,0.0,5,Rain,Light Rain,2024-01-07T10:00:00,Station C,667
False,17.0,9.8,0.0,12,Rain,Drizzle,2024-01-07T11:00:00,Station B,1476
False,18.6,8.8,0.0,22,Rain,Light Rain,2024-01-07T12:00:00,Station B,701
False,31.0,0.0,0.0,77,Clear,Bright day,2024-01-07T13:00:00,Station C,969
False,-9.0,0.0,0.0,29,Clear,Sunny,2024-01-07T14:00:00,Station B,304
False,-6.4,0.0,0.0,79,Cloudy,Partly Cloudy,2024-01-07T15:00:00,Station D,331
True,6.9,0.0,0.0,19,Cloudy,Overcast,2024-01-07T16:00:00,Station C,1364
False,2.5,6.4,0.0,17,Rain,Drizzle,2024-01-07T17:00:00,Station D,131
False,28.1,0.0,0.0,29,Clear,Sunny,2024-01-07T18:00:00,Station C,728
True,34.5,0.0,0.0,85,Clear,Bright day,2024-01-07T19:00:00,Station B,1457
True,9.9,0.1,0.0,23,Rain,Light Rain,2024-01-07T20:00:00,Station D,1056
True,-4.3,0.0,0.0,26,Cloudy,Overcast,2024-01-07T21:00:00,Station A,405
True,11.0,0.0,1.0,92,Snow,Heavy Snowfall,2024-01-07T22:00:00,Station A,918
False,15.9,9.7,0.0,36,Rain,Heavy Rain,2024-01-07T23:00:00,Station B,462
False,7.0,4.7,0.0,50,Rain,Light Rain,2024-01-08T00:00:00,Station A,915
False,7.2,0.0,0.0,97,Clear,Bright day,2024-01-08T01:00:00,Station D,220
False,7.1,0.0,0.0,32,Cloudy,Partly Cloudy,2024-01-08T02:00:00,Station B,676
True,5.0,0.0,1.0,9,Snow,Light Snow,2024-01-08T03:00:00,Station D,438
False,31.7,0.0,4.9,51,Snow,Snow Showers,2024-01-08T04:00:00,Station C,814
False,29.8,0.0,0.0,52,Clear,Bright day,2024-01-08T05:00:00,Station C,304
False,9.6,0.0,0.0,97,Cloudy,Mostly Cloudy,2024-01-08T06:00:00,Station B,572
True,-7.4,3.9,0.0,89,Rain,Light Rain,2024-01-08T07:00:00,Station D,918
True,18.4,0.0,0.0,46,Clear,Bright day,2024-01-08T08:00:00,Station D,1435
True,10.5,6.8,0.0,77,Rain,Drizzle,2024-01-08T09:00:00,Station B,570
False,24.7,0.0,0.0,14,Clear,Clear skies,2024-01-08T10:00:00,Station B,1369
False,-2.5,0.0,0.0,54,Cloudy,Mostly Cloudy,2024-01-08T11:00:00,Station A,924
True,3.9,0.0,4.4,75,Snow,Heavy Snowfall,2024-01-08T12:00:00,Station C,232
False,23.7,0.0,0.0,34,Cloudy,Overcast,2024-01-08T13:00:00,Station C,865
False,-5.6,0.0,2.1,0,Snow,Heavy Snowfall,2024-01-08T14:00:00,Station B,903
True,6.9,0.0,0.0,22,Cloudy,Overcast,2024-01-08T15:00:00,Station D,1491
True,32.7,0.0,0.0,64,Cloudy,Overcast,2024-01-08T16:00:00,Station D,972
False,-1.8,0.0,0.0,95,Clear,Clear skies,2024-01-08T17:00:00,Station B,442
True,-2.5,0.0,0.0,81,Clear,Clear skies,2024-01-08T18:00:00,Station D,650
False,5.4,5.9,0.0,8,Rain,Drizzle,2024-01-08T19:00:00,Station A,1028
True,2.0,0.0,0.0,7,Clear,Sunny,2024-01-08T20:00:00,Station A,64
False,17.1,0.0,0.0,48,Clear,Clear skies,2024-01-08T21:00:00,Station B,594
False,6.7,0.0,5.0,43,Snow,Heavy Snowfall,2024-01-08T22:00:00,Station C,540
True,-7.4,0.0,1.7,78,Snow,Snow Showers,2024-01-08T23:00:00,Station D,255
False,17.1,0.0,0.0,3,Cloudy,Mostly Cloudy,2024-01-09T00:00:00,Station D,1136
False,17.8,6.6,0.0,57,Rain,Drizzle,2024-01-09T01:00:00,Station B,1023
True,33.1,0.0,0.0,81,Clear,Bright day,2024-01-09T02:00:00,Station B,709
True,4.6,0.0,0.0,94,Clear,Bright day,2024-01-09T03:00:00,Station C,959
True,17.6,0.0,2.1,94,Snow,Heavy Snowfall,2024-01-09T04:00:00,Station D,1025
True,-1.2,1.4,0.0,77,Rain,Light Rain,2024-01-09T05:00:00,Station D,1115
False,27.5,0.0,0.0,38,Clear,Sunny,2024-01-09T06:00:00,Station D,1173
True,19.8,0.0,0.0,61,Clear,Sunny,2024-01-09T07:00:00,Station D,543
True,9.6,0.0,0.0,13,Clear,Clear skies,2024-01-09T08:00:00,Station B,109
True,22.4,6.7,0.0,28,Rain,Drizzle,2024-01-09T09:00:00,Station D,1423
True,25.8,0.0,1.1,11,Snow,Heavy Snowfall,2024-01-09T10:00:00,Station B,1229
False,23.4,0.0,3.3,91,Snow,Light Snow,2024-01-09T11:00:00,Station C,1200
True,3.1,1.1,0.0,14,Rain,Drizzle,2024-01-09T12:00:00,Station B,746
True,28.4,9.5,0.0,16,Rain,Heavy Rain,2024-01-09T13:00:00,Station A,1231
False,34.1,0.0,0.0,49,Cloudy,Mostly Cloudy,2024-01-09T14:00:00,Station A,704
False,7.8,0.0,0.0,13,Cloudy,Partly Cloudy,2024-01-09T15:00:00,Station B,1152
False,12.5,4.6,0.0,28,Rain,Light Rain,2024-01-09T16:00:00,Station B,1281
False,12.6,6.9,0.0,39,Rain,Drizzle,2024-01-09T17:00:00,Station A,610
True,21.7,0.0,4.9,37,Snow,Heavy Snowfall,2024-01-09T18:00:00,Station B,732
False,23.1,0.0,0.0,89,Cloudy,Mostly Cloudy,2024-01-09T19:00:00,Station B,416
False,31.1,1.6,0.0,84,Rain,Heavy Rain,2024-01-09T20:00:00,Station D,94
False,24.1,0.0,2.6,44,Snow,Heavy Snowfall,2024-01-09T21:00:00,Station D,629
False,-4.1,0.0,2.9,12,Snow,Snow Showers,2024-01-09T22:00:00,Station B,160
True,21.3,0.0,0.0,56,Cloudy,Overcast,2024-01-09T23:00:00,Station B,646
True,19.3,0.0,0.0,94,Cloudy,Mostly Cloudy,2024-01-10T00:00:00,Station B,791
False,20.6,0.0,0.3,54,Snow,Light Snow,2024-01-10T01:00:00,Station B,778
False,19.3,0.0,0.0,65,Clear,Sunny,2024-01-10T02:00:00,Station A,1265
False,-4.7,0.0,0.0,4,Cloudy,Partly Cloudy,2024-01-10T03:00:00,Station D,862
False,21.1,0.0,3.3,99,Snow,Snow Showers,2024-01-10T04:00:00,Station B,999
True,-4.6,0.8,0.0,1,Rain,Light Rain,2024-01-10T05:00:00,Station D,1051
False,23.5,7.9,0.0,88,Rain,Heavy Rain,2024-01-10T06:00:00,Station D,420
True,-4.4,3.3,0.0,73,Rain,Heavy Rain,2024-01-10T07:00:00,Station D,1150
True,26.8,0.0,2.7,71,Snow,Light Snow,2024-01-10T08:00:00,Station A,180
False,21.3,0.0,0.0,76,Cloudy,Partly Cloudy,2024-01-10T09:00:00,Station A,60
True,15.9,0.0,0.0,16,Clear,Sunny,2024-01-10T10:00:00,Station A,1386
False,34.1,0.0,0.0,10,Clear,Clear skies,2024-01-10T11:00:00,Station C,1086
False,-10.0,0.0,4.7,84,Snow,Heavy Snowfall,2024-01-10T12:00:00,Station B,1113
False,12.1,0.0,0.0,73,Cloudy,Mostly Cloudy,2024-01-10T13:00:00,Station D,690
True,26.9,0.0,0.0,84,Clear,Sunny,2024-01-10T14:00:00,Station B,535
False,33.1,6.0,0.0,27,Rain,Heavy Rain,2024-01-10T15:00:00,Station B,492
False,14.7,0.0,3.2,9,Snow,Snow Showers,2024-01-10T16:00:00,Station B,384
True,9.1,6.9,0.0,86,Rain,Light Rain,2024-01-10T17:00:00,Station A,1147
True,6.7,0.0,0.0,91,Cloudy,Partly Cloudy,2024-01-10T18:00:00,Station C,1396
True,9.5,0.3,0.0,100,Rain,Light Rain,2024-01-10T19:00:00,Station B,1286
False,-5.1,0.0,0.0,68,Clear,Sunny,2024-01-10T20:00:00,Station C,1173
True,30.9,0.0,0.0,46,Clear,Sunny,2024-01-10T21:00:00,Station C,609
False,7.0,0.0,0.0,12,Clear,Sunny,2024-01-10T22:00:00,Station C,505
False,22.8,0.0,0.0,67,Cloudy,Overcast,2024-01-10T23:00:00,Station A,677
True,2.2,1.0,0.0,70,Rain,Heavy Rain,2024-01-11T00:00:00,Station C,148
False,26.3,0.0,0.0,44,Cloudy,Partly Cloudy,2024-01-11T01:00:00,Station D,1438
True,20.9,7.1,0.0,1,Rain,Light Rain,2024-01-11T02:00:00,Station B,1396
True,31.3,6.4,0.0,6,Rain,Drizzle,2024-01-11T03:00:00,Station D,808
False,9.8,0.0,2.3,23,Snow,Snow Showers,2024-01-11T04:00:00,Station D,637
False,28.6,9.5,0.0,81,Rain,Light Rain,2024-01-11T05:00:00,Station B,882
True,0.8,0.0,0.0,93,Clear,Bright day,2024-01-11T06:00:00,Station A,241
True,2.9,0.0,0.0,95,Clear,Clear skies,2024-01-11T07:00:00,Station A,1059
True,13.2,0.0,4.4,63,Snow,Snow Showers,2024-01-11T08:00:00,Station B,1479
False,-9.7,0.0,0.0,95,Cloudy,Overcast,2024-01-11T09:00:00,Station A,920
True,20.4,0.0,2.6,21,Snow,Light Snow,2024-01-11T10:00:00,Station A,510
False,5.9,0.0,0.0,65,Cloudy,Partly Cloudy,2024-01-11T11:00:00,Station C,154
True,33.6,0.0,0.0,47,Cloudy,Mostly Cloudy,2024-01-11T12:00:00,Station D,742
False,11.7,2.6,0.0,38,Rain,Light Rain,2024-01-11T13:00:00,Station A,54
True,30.2,0.0,0.0,59,Clear,Clear skies,2024-01-11T14:00:00,Station C,1049
False,3.4,0.0,1.7,42,Snow,Snow Showers,2024-01-11T15:00:00,Station A,431
True,12.1,0.0,0.0,55,Clear,Clear skies,2024-01-11T16:00:00,Station A,223
False,-3.0,0.0,1.1,0,Snow,Snow Showers,2024-01-11T17:00:00,Station A,859
False,14.1,0.0,4.9,23,Snow,Light Snow,2024-01-11T18:00:00,Station C,1394
True,9.5,3.6,0.0,95,Rain,Light Rain,2024-01-11T19:00:00,Station B,456
True,7.8,0.0,0.0,17,Clear,Sunny,2024-01-11T20:00:00,Station C,728
True,34.2,0.0,2.4,85,Snow,Snow Showers,2024-01-11T21:00:00,Station B,1064
False,-5.1,0.0,0.1,16,Snow,Heavy Snowfall,2024-01-11T22:00:00,Station D,368
False,20.5,0.0,0.0,6,Cloudy,Mostly Cloudy,2024-01-11T23:00:00,Station A,750
True,3.0,0.0,3.8,61,Snow,Heavy Snowfall,2024-01-12T00:00:00,Station A,557
True,24.5,0.0,0.0,35,Cloudy,Mostly Cloudy,2024-01-12T01:00:00,Station B,589
True,21.8,0.0,0.0,60,Cloudy,Overcast,2024-01-12T02:00:00,Station D,261
False,-4.0,0.0,0.0,15,Cloudy,Overcast,2024-01-12T03:00:00,Station B,128
False,17.7,0.0,0.3,2,Snow,Heavy Snowfall,2024-01-12T04:00:00,Station B,884
False,9.2,0.0,0.0,43,Cloudy,Mostly Cloudy,2024-01-12T05:00:00,Station B,175
False,2.1,2.8,0.0,14,Rain,Light Rain,2024-01-12T06:00:00,Station A,768
False,-8.2,0.0,0.0,23,Clear,Sunny,2024-01-12T07:00:00,Station C,156
False,30.9,0.0,0.9,35,Snow,Snow Showers,2024-01-12T08:00:00,Station C,1056
True,20.1,0.0,0.0,12,Clear,Clear skies,2024-01-12T09:00:00,Station C,1448
True,25.0,5.3,0.0,95,Rain,Drizzle,2024-01-12T10:00:00,Station C,811
True,7.3,0.0,0.0,74,Cloudy,Mostly Cloudy,2024-01-12T11:00:00,Station C,267
True,33.6,0.0,0.0,75,Clear,Sunny,2024-01-12T12:00:00,Station A,1390
False,32.4,0.0,0.0,9,Clear,Clear skies,2024-01-12T13:00:00,Station D,1317
True,22.4,0.0,0.0,68,Cloudy,Overcast,2024-01-12T14:00:00,Station D,139
False,28.4,9.1,0.0,97,Rain,Heavy Rain,2024-01-12T15:00:00,Station D,761
True,11.7,0.0,4.8,8,Snow,Heavy Snowfall,2024-01-12T16:00:00,Station A,94
True,-8.0,0.0,0.0,37,Cloudy,Mostly Cloudy,2024-01-12T17:00:00,Station C,1209
False,20.8,0.0,4.9,63,Snow,Heavy Snowfall,2024-01-12T18:00:00,Station B,388
True,17.3,0.0,0.0,51,Snow,Heavy Snowfall,2024-01-12T19:00:00,Station D,1221
False,21.8,0.0,1.5,64,Snow,Heavy Snowfall,2024-01-12T20:00:00,Station A,501
True,0.1,0.0,0.0,21,Clear,Clear skies,2024-01-12T21:00:00,Station C,1142
True,31.7,0.0,0.0,35,Cloudy,Mostly Cloudy,2024-01-12T22:00:00,Station A,603
False,-4.8,0.0,0.0,68,Cloudy,Mostly Cloudy,2024-01-12T23:00:00,Station B,1378
True,32.6,8.8,0.0,10,Rain,Heavy Rain,2024-01-13T00:00:00,Station C,590
True,18.2,0.1,0.0,7,Rain,Drizzle,2024-01-13T01:00:00,Station C,778
True,33.7,0.0,0.0,32,Cloudy,Mostly Cloudy,2024-01-13T02:00:00,Station C,1150
True,18.5,5.5,0.0,80,Rain,Heavy Rain,2024-01-13T03:00:00,Station D,955
True,18.3,0.0,0.0,74,Cloudy,Partly Cloudy,2024-01-13T04:00:00,Station C,859
True,-3.3,0.0,2.5,47,Snow,Light Snow,2024-01-13T05:00:00,Station B,990
False,-1.9,0.0,1.6,93,Snow,Heavy Snowfall,2024-01-13T06:00:00,Station B,413
False,-6.8,0.0,0.0,18,Clear,Bright day,2024-01-13T07:00:00,Station B,552
True,13.7,0.0,0.0,92,Clear,Clear skies,2024-01-13T08:00:00,Station D,74
True,27.2,0.0,0.0,14,Clear,Sunny,2024-01-13T09:00:00,Station D,1369
True,-3.6,0.0,0.0,34,Clear,Sunny,2024-01-13T10:00:00,Station B,1334
False,-6.2,1.4,0.0,90,Rain,Light Rain,2024-01-13T11:00:00,Station A,1202
False,-3.0,0.6,0.0,61,Rain,Drizzle,2024-01-13T12:00:00,Station C,1467
True,-5.4,0.0,0.0,5,Clear,Bright day,2024-01-13T13:00:00,Station A,657
