station_name,datetime,precipitation,snow,temperature,weather_condition,clouds
Station D,2024-01-02T23:00:00,8.7,1.6,10.2,Snow,85
Station B,2024-01-03T00:00:00,9.6,4.5,14.3,Snow,43
Station A,2024-01-03T01:00:00,6.4,0.0,19.0,Rain,71
Station A,2024-01-03T02:00:00,0.0,0.0,11.4,Cloudy,96
Station B,2024-01-03T03:00:00,0.0,0.0,25.4,Clear,35
Station C,2024-01-03T04:00:00,8.6,0.1,-8.0,Snow,75
Station A,2024-01-03T05:00:00,1.1,0.0,1.6,Rain,48
Station B,2024-01-03T06:00:00,0.0,0.0,24.6,Cloudy,32
Station B,2024-01-03T07:00:00,0.0,0.0,33.3,Clear,78
Station A,2024-01-03T08:00:00,1.4,0.0,-5.6,Rain,49
Station A,2024-01-03T09:00:00,0.0,0.0,0.8,Clear,25
Station D,2024-01-03T10:00:00,0.0,0.0,-7.3,Clear,34
Station D,2024-01-03T11:00:00,0.0,0.0,18.5,Clear,52
Station A,2024-01-03T12:00:00,0.0,0.0,15.0,Cloudy,97
Station D,2024-01-03T13:00:00,5.0,3.9,28.1,Snow,10
Station B,2024-01-03T14:00:00,0.0,0.0,32.9,Cloudy,68
Station A,2024-01-03T15:00:00,9.7,0.0,3.0,Snow,79
Station C,2024-01-03T16:00:00,2.1,4.2,27.9,Snow,44
Station A,2024-01-03T17:00:00,1.2,0.0,7.8,Rain,11
Station B,2024-01-03T18:00:00,6.4,0.0,32.5,Rain,87
Station B,2024-01-03T19:00:00,9.6,0.0,-0.5,Rain,43
Station B,2024-01-03T20:00:00,0.0,0.0,11.4,Clear,77
Station D,2024-01-03T21:00:00,8.8,3.3,-6.3,Snow,68
Station D,2024-01-03T22:00:00,0.0,0.0,33.7,Clear,45
Station B,2024-01-03T23:00:00,0.0,0.0,10.8,Clear,15
Station B,2024-01-04T00:00:00,0.0,0.0,2.7,Clear,97
Station C,2024-01-04T01:00:00,0.0,0.0,34.1,Cloudy,29
Station D,2024-01-04T02:00:00,0.0,0.0,-1.2,Cloudy,0
Station C,2024-01-04T03:00:00,6.6,2.8,14.8,Snow,21
Station B,2024-01-04T04:00:00,0.0,0.0,1.7,Clear,16
Station C,2024-01-04T05:00:00,0.0,0.0,-9.0,Cloudy,86
Station D,2024-01-04T06:00:00,0.0,0.0,18.8,Clear,54
Station D,2024-01-04T07:00:00,5.2,2.5,-4.5,Snow,35
Station B,2024-01-04T08:00:00,0.0,0.0,31.3,Clear,35
Station A,2024-01-04T09:00:00,8.8,4.0,5.1,Snow,24
Station B,2024-01-04T10:00:00,0.0,0.0,4.8,Cloudy,21
Station D,2024-01-04T11:00:00,6.3,1.7,16.7,Snow,3
Station D,2024-01-04T12:00:00,0.0,0.0,27.5,Cloudy,43
Station D,2024-01-04T13:00:00,0.0,0.0,10.1,Clear,80
Station A,2024-01-04T14:00:00,6.9,3.9,30.1,Snow,40
Station C,2024-01-04T15:00:00,0.6,0.3,-5.4,Snow,8
Station D,2024-01-04T16:00:00,0.0,0.0,25.4,Cloudy,76
Station D,2024-01-04T17:00:00,6.2,1.7,29.6,Snow,54
Station C,2024-01-04T18:00:00,0.0,0.0,-5.4,Cloudy,13
Station B,2024-01-04T19:00:00,0.0,0.0,12.9,Cloudy,81
Station D,2024-01-04T20:00:00,0.0,0.0,-3.8,Cloudy,31
Station C,2024-01-04T21:00:00,7.5,1.6,33.2,Snow,65
Station D,2024-01-04T22:00:00,3.7,0.0,5.4,Rain,77
Station B,2024-01-04T23:00:00,0.0,0.0,5.5,Clear,54
Station C,2024-01-05T00:00:00,0.0,0.0,11.4,Cloudy,85
Station C,2024-01-05T01:00:00,3.3,0.0,3.5,Rain,78
Station D,2024-01-05T02:00:00,0.0,0.0,18.7,Cloudy,0
Station B,2024-01-05T03:00:00,0.0,0.0,23.1,Cloudy,61
Station D,2024-01-05T04:00:00,0.0,0.0,6.3,Cloudy,0
Station A,2024-01-05T05:00:00,0.0,0.0,9.8,Cloudy,37
Station A,2024-01-05T06:00:00,0.0,0.0,2.8,Cloudy,25
Station B,2024-01-05T07:00:00,2.0,0.0,1.1,Rain,70
Station A,2024-01-05T08:00:00,0.0,0.0,19.5,Cloudy,48
Station C,2024-01-05T09:00:00,3.7,0.9,6.6,Snow,30
Station A,2024-01-05T10:00:00,0.0,0.0,29.7,Clear,18
Station D,2024-01-05T11:00:00,9.8,0.0,17.0,Rain,40
Station B,2024-01-05T12:00:00,0.5,0.0,4.7,Rain,19
Station D,2024-01-05T13:00:00,0.0,0.0,-6.3,Cloudy,93
Station D,2024-01-05T14:00:00,1.8,0.0,13.4,Rain,63
Station D,2024-01-05T15:00:00,6.4,4.0,16.2,Snow,34
Station B,2024-01-05T16:00:00,0.0,0.0,28.8,Cloudy,57
Station D,2024-01-05T17:00:00,8.4,1.3,-2.9,Snow,73
Station C,2024-01-05T18:00:00,5.8,2.3,5.8,Snow,66
Station D,2024-01-05T19:00:00,8.0,1.6,8.4,Snow,55
Station D,2024-01-05T20:00:00,0.0,0.0,19.0,Cloudy,33
Station A,2024-01-05T21:00:00,0.7,0.0,-5.6,Rain,29
Station B,2024-01-05T22:00:00,8.2,0.0,3.6,Rain,32
Station B,2024-01-05T23:00:00,2.8,0.0,24.7,Rain,1
Station A,2024-01-06T00:00:00,7.6,0.7,13.1,Snow,83
Station B,2024-01-06T01:00:00,7.9,3.8,13.2,Snow,29
Station C,2024-01-06T02:00:00,0.0,0.0,24.7,Cloudy,54
Station D,2024-01-06T03:00:00,1.4,4.4,-8.6,Snow,71
Station C,2024-01-06T04:00:00,6.9,0.0,8.9,Rain,28
Station A,2024-01-06T05:00:00,0.0,0.0,-3.1,Clear,17
Station B,2024-01-06T06:00:00,1.9,0.5,14.1,Snow,8
Station C,2024-01-06T07:00:00,0.0,0.0,-5.3,Clear,21
Station D,2024-01-06T08:00:00,0.0,0.0,-1.0,Clear,23
Station B,2024-01-06T09:00:00,4.5,0.0,13.6,Rain,84
Station C,2024-01-06T10:00:00,1.1,2.7,-2.9,Snow,50
Station B,2024-01-06T11:00:00,0.0,0.0,3.9,Cloudy,26
Station C,2024-01-06T12:00:00,0.0,0.0,22.3,Cloudy,64
Station A,2024-01-06T13:00:00,0.0,0.0,-7.1,Cloudy,57
Station C,2024-01-06T14:00:00,0.4,0.5,10.8,Snow,58
Station C,2024-01-06T15:00:00,8.5,2.1,27.1,Snow,78
Station D,2024-01-06T16:00:00,0.0,0.0,15.6,Cloudy,89
Station B,2024-01-06T17:00:00,6.7,0.0,14.2,Rain,80
Station D,2024-01-06T18:00:00,0.0,0.0,-6.6,Clear,47
Station D,2024-01-06T19:00:00,0.0,0.0,-0.7,Cloudy,32
Station A,2024-01-06T20:00:00,4.0,1.0,5.5,Snow,48
Station A,2024-01-06T21:00:00,0.0,0.0,20.2,Cloudy,41
Station A,2024-01-06T22:00:00,0.0,0.0,19.6,Clear,70
Station C,2024-01-06T23:00:00,0.0,0.0,27.7,Cloudy,21
Station C,2024-01-07T00:00:00,0.0,0.0,23.4,Clear,68
Station A,2024-01-07T01:00:00,1.8,0.0,9.8,Rain,19
Station A,2024-01-07T02:00:00,0.0,0.0,21.1,Clear,49
Station A,2024-01-07T03:00:00,0.0,0.0,7.0,Clear,98
Station B,2024-01-07T04:00:00,0.0,0.0,-9.3,Cloudy,11
Station B,2024-01-07T05:00:00,0.0,0.0,33.1,Clear,28
Station B,2024-01-07T06:00:00,0.0,0.0,13.1,Clear,53
Station B,2024-01-07T07:00:00,0.0,0.0,7.8,Cloudy,69
Station B,2024-01-07T08:00:00,0.0,0.0,4.6,Clear,45
Station C,2024-01-07T09:00:00,0.0,0.0,-0.4,Clear,49
Station C,2024-01-07T10:00:00,2.2,0.0,-7.0,Rain,5
Station B,2024-01-07T11:00:00,9.8,0.0,17.0,Rain,12
Station B,2024-01-07T12:00:00,8.8,0.0,18.6,Rain,22
Station C,2024-01-07T13:00:00,0.0,0.0,31.0,Clear,77
Station B,2024-01-07T14:00:00,0.0,0.0,-9.0,Clear,29
Station D,2024-01-07T15:00:00,0.0,0.0,-6.4,Cloudy,79
Station C,2024-01-07T16:00:00,0.0,0.0,6.9,Cloudy,19
Station D,2024-01-07T17:00:00,6.4,0.0,2.5,Rain,17
Station C,2024-01-07T18:00:00,0.0,0.0,28.1,Clear,29
Station B,2024-01-07T19:00:00,0.0,0.0,34.5,Clear,85
Station D,2024-01-07T20:00:00,0.1,0.0,9.9,Rain,23
Station A,2024-01-07T21:00:00,0.0,0.0,-4.3,Cloudy,26
Station A,2024-01-07T22:00:00,1.6,1.0,11.0,Snow,92
Station B,2024-01-07T23:00:00,9.7,0.0,15.9,Rain,36
Station A,2024-01-08T00:00:00,4.7,0.0,7.0,Rain,50
Station D,2024-01-08T01:00:00,0.0,0.0,7.2,Clear,97
Station B,2024-01-08T02:00:00,0.0,0.0,7.1,Cloudy,32
Station D,2024-01-08T03:00:00,7.1,1.0,5.0,Snow,9
Station C,2024-01-08T04:00:00,9.4,4.9,31.7,Snow,51
Station C,2024-01-08T05:00:00,0.0,0.0,29.8,Clear,52
Station B,2024-01-08T06:00:00,0.0,0.0,9.6,Cloudy,97
Station D,2024-01-08T07:00:00,3.9,0.0,-7.4,Rain,89
Station D,2024-01-08T08:00:00,0.0,0.0,18.4,Clear,46
Station B,2024-01-08T09:00:00,6.8,0.0,10.5,Rain,77
Station B,2024-01-08T10:00:00,0.0,0.0,24.7,Clear,14
Station A,2024-01-08T11:00:00,0.0,0.0,-2.5,Cloudy,54
Station C,2024-01-08T12:00:00,4.1,4.4,3.9,Snow,75
Station C,2024-01-08T13:00:00,0.0,0.0,23.7,Cloudy,34
Station B,2024-01-08T14:00:00,7.7,2.1,-5.6,Snow,0
Station D,2024-01-08T15:00:00,0.0,0.0,6.9,Cloudy,22
Station D,2024-01-08T16:00:00,0.0,0.0,32.7,Cloudy,64
Station B,2024-01-08T17:00:00,0.0,0.0,-1.8,Clear,95
Station D,2024-01-08T18:00:00,0.0,0.0,-2.5,Clear,81
Station A,2024-01-08T19:00:00,5.9,0.0,5.4,Rain,8
Station A,2024-01-08T20:00:00,0.0,0.0,2.0,Clear,7
Station B,2024-01-08T21:00:00,0.0,0.0,17.1,Clear,48
Station C,2024-01-08T22:00:00,8.9,5.0,6.7,Snow,43
Station D,2024-01-08T23:00:00,3.6,1.7,-7.4,Snow,78
Station D,2024-01-09T00:00:00,0.0,0.0,17.1,Cloudy,3
Station B,2024-01-09T01:00:00,6.6,0.0,17.8,Rain,57
Station B,2024-01-09T02:00:00,0.0,0.0,33.1,Clear,81
Station C,2024-01-09T03:00:00,0.0,0.0,4.6,Clear,94
Station D,2024-01-09T04:00:00,0.8,2.1,17.6,Snow,94
Station D,2024-01-09T05:00:00,1.4,0.0,-1.2,Rain,77
Station D,2024-01-09T06:00:00,0.0,0.0,27.5,Clear,38
Station D,2024-01-09T07:00:00,0.0,0.0,19.8,Clear,61
Station B,2024-01-09T08:00:00,0.0,0.0,9.6,Clear,13
Station D,2024-01-09T09:00:00,6.7,0.0,22.4,Rain,28
Station B,2024-01-09T10:00:00,3.3,1.1,25.8,Snow,11
Station C,2024-01-09T11:00:00,7.3,3.3,23.4,Snow,91
Station B,2024-01-09T12:00:00,1.1,0.0,3.1,Rain,14
Station A,2024-01-09T13:00:00,9.5,0.0,28.4,Rain,16
Station A,2024-01-09T14:00:00,0.0,0.0,34.1,Cloudy,49
Station B,2024-01-09T15:00:00,0.0,0.0,7.8,Cloudy,13
Station B,2024-01-09T16:00:00,4.6,0.0,12.5,Rain,28
Station A,2024-01-09T17:00:00,6.9,0.0,12.6,Rain,39
Station B,2024-01-09T18:00:00,3.8,4.9,21.7,Snow,37
Station B,2024-01-09T19:00:00,0.0,0.0,23.1,Cloudy,89
Station D,2024-01-09T20:00:00,1.6,0.0,31.1,Rain,84
Station D,2024-01-09T21:00:00,3.9,2.6,24.1,Snow,44
Station B,2024-01-09T22:00:00,7.5,2.9,-4.1,Snow,12
Station B,2024-01-09T23:00:00,0.0,0.0,21.3,Cloudy,56
Station B,2024-01-10T00:00:00,0.0,0.0,19.3,Cloudy,94
Station B,2024-01-10T01:00:00,1.7,0.3,20.6,Snow,54
Station A,2024-01-10T02:00:00,0.0,0.0,19.3,Clear,65
Station D,2024-01-10T03:00:00,0.0,0.0,-4.7,Cloudy,4
Station B,2024-01-10T04:00:00,8.0,3.3,21.1,Snow,99
Station D,2024-01-10T05:00:00,0.8,0.0,-4.6,Rain,1
Station D,2024-01-10T06:00:00,7.9,0.0,23.5,Rain,88
Station D,2024-01-10T07:00:00,3.3,0.0,-4.4,Rain,73
Station A,2024-01-10T08:00:00,7.8,2.7,26.8,Snow,71
Station A,2024-01-10T09:00:00,0.0,0.0,21.3,Cloudy,76
Station A,2024-01-10T10:00:00,0.0,0.0,15.9,Clear,16
Station C,2024-01-10T11:00:00,0.0,0.0,34.1,Clear,10
Station B,2024-01-10T12:00:00,3.0,4.7,-10.0,Snow,84
Station D,2024-01-10T13:00:00,0.0,0.0,12.1,Cloudy,73
Station B,2024-01-10T14:00:00,0.0,0.0,26.9,Clear,84
Station B,2024-01-10T15:00:00,6.0,0.0,33.1,Rain,27
Station B,2024-01-10T16:00:00,2.6,3.2,14.7,Snow,9
Station A,2024-01-10T17:00:00,6.9,0.0,9.1,Rain,86
Station C,2024-01-10T18:00:00,0.0,0.0,6.7,Cloudy,91
Station B,2024-01-10T19:00:00,0.3,0.0,9.5,Rain,100
Station C,2024-01-10T20:00:00,0.0,0.0,-5.1,Clear,68
Station C,2024-01-10T21:00:00,0.0,0.0,30.9,Clear,46
Station C,2024-01-10T22:00:00,0.0,0.0,7.0,Clear,12
Station A,2024-01-10T23:00:00,0.0,0.0,22.8,Cloudy,67
Station C,2024-01-11T00:00:00,1.0,0.0,2.2,Rain,70
Station D,2024-01-11T01:00:00,0.0,0.0,26.3,Cloudy,44
Station B,2024-01-11T02:00:00,7.1,0.0,20.9,Rain,1
Station D,2024-01-11T03:00:00,6.4,0.0,31.3,Rain,6
Station D,2024-01-11T04:00:00,3.5,2.3,9.8,Snow,23
Station B,2024-01-11T05:00:00,9.5,0.0,28.6,Rain,81
Station A,2024-01-11T06:00:00,0.0,0.0,0.8,Clear,93
Station A,2024-01-11T07:00:00,0.0,0.0,2.9,Clear,95
Station B,2024-01-11T08:00:00,10.0,4.4,13.2,Snow,63
Station A,2024-01-11T09:00:00,0.0,0.0,-9.7,Cloudy,95
Station A,2024-01-11T10:00:00,8.8,2.6,20.4,Snow,21
Station C,2024-01-11T11:00:00,0.0,0.0,5.9,Cloudy,65
Station D,2024-01-11T12:00:00,0.0,0.0,33.6,Cloudy,47
Station A,2024-01-11T13:00:00,2.6,0.0,11.7,Rain,38
Station C,2024-01-11T14:00:00,0.0,0.0,30.2,Clear,59
Station A,2024-01-11T15:00:00,1.1,1.7,3.4,Snow,42
Station A,2024-01-11T16:00:00,0.0,0.0,12.1,Clear,55
Station A,2024-01-11T17:00:00,6.6,1.1,-3.0,Snow,0
Station C,2024-01-11T18:00:00,2.7,4.9,14.1,Snow,23
Station B,2024-01-11T19:00:00,3.6,0.0,9.5,Rain,95
Station C,2024-01-11T20:00:00,0.0,0.0,7.8,Clear,17
Station B,2024-01-11T21:00:00,1.2,2.4,34.2,Snow,85
Station D,2024-01-11T22:00:00,1.1,0.1,-5.1,Snow,16
Station A,2024-01-11T23:00:00,0.0,0.0,20.5,Cloudy,6
Station A,2024-01-12T00:00:00,4.9,3.8,3.0,Snow,61
Station B,2024-01-12T01:00:00,0.0,0.0,24.5,Cloudy,35
Station D,2024-01-12T02:00:00,0.0,0.0,21.8,Cloudy,60
Station B,2024-01-12T03:00:00,0.0,0.0,-4.0,Cloudy,15
Station B,2024-01-12T04:00:00,0.9,0.3,17.7,Snow,2
Station B,2024-01-12T05:00:00,0.0,0.0,9.2,Cloudy,43
Station A,2024-01-12T06:00:00,2.8,0.0,2.1,Rain,14
Station C,2024-01-12T07:00:00,0.0,0.0,-8.2,Clear,23
Station C,2024-01-12T08:00:00,1.0,0.9,30.9,Snow,35
Station C,2024-01-12T09:00:00,0.0,0.0,20.1,Clear,12
Station C,2024-01-12T10:00:00,5.3,0.0,25.0,Rain,95
Station C,2024-01-12T11:00:00,0.0,0.0,7.3,Cloudy,74
Station A,2024-01-12T12:00:00,0.0,0.0,33.6,Clear,75
Station D,2024-01-12T13:00:00,0.0,0.0,32.4,Clear,9
Station D,2024-01-12T14:00:00,0.0,0.0,22.4,Cloudy,68
Station D,2024-01-12T15:00:00,9.1,0.0,28.4,Rain,97
Station A,2024-01-12T16:00:00,5.2,4.8,11.7,Snow,8
Station C,2024-01-12T17:00:00,0.0,0.0,-8.0,Cloudy,37
Station B,2024-01-12T18:00:00,8.7,4.9,20.8,Snow,63
Station D,2024-01-12T19:00:00,2.1,0.0,17.3,Snow,51
Station A,2024-01-12T20:00:00,5.3,1.5,21.8,Snow,64
Station C,2024-01-12T21:00:00,0.0,0.0,0.1,Clear,21
Station A,2024-01-12T22:00:00,0.0,0.0,31.7,Cloudy,35
Station B,2024-01-12T23:00:00,0.0,0.0,-4.8,Cloudy,68
Station C,2024-01-13T00:00:00,8.8,0.0,32.6,Rain,10
Station C,2024-01-13T01:00:00,0.1,0.0,18.2,Rain,7
Station C,2024-01-13T02:00:00,0.0,0.0,33.7,Cloudy,32
Station D,2024-01-13T03:00:00,5.5,0.0,18.5,Rain,80
Station C,2024-01-13T04:00:00,0.0,0.0,18.3,Cloudy,74
Station B,2024-01-13T05:00:00,4.8,2.5,-3.3,Snow,47
Station B,2024-01-13T06:00:00,2.8,1.6,-1.9,Snow,93
Station B,2024-01-13T07:00:00,0.0,0.0,-6.8,Clear,18
Station D,2024-01-13T08:00:00,0.0,0.0,13.7,Clear,92
Station D,2024-01-13T09:00:00,0.0,0.0,27.2,Clear,14
Station B,2024-01-13T10:00:00,0.0,0.0,-3.6,Clear,34
Station A,2024-01-13T11:00:00,1.4,0.0,-6.2,Rain,90
Station C,2024-01-13T12:00:00,0.6,0.0,-3.0,Rain,61
Station A,2024-01-13T13:00:00,0.0,0.0,-5.4,Clear,5
Station D,2024-01-13T14:00:00,0.0,0.0,31.0,Cloudy,0
Station D,2024-01-13T15:00:00,0.0,0.0,19.5,Cloudy,45
Station A,2024-01-13T16:00:00,2.2,4.8,34.6,Snow,21
Station C,2024-01-13T17:00:00,0.0,0.0,31.5,Clear,46
Station B,2024-01-13T18:00:00,0.0,0.0,13.9,Cloudy,54
Station D,2024-01-13T19:00:00,0.0,0.0,20.9,Cloudy,85
Station A,2024-01-13T20:00:00,9.3,0.0,19.8,Rain,63
Station B,2024-01-13T21:00:00,7.2,0.0,7.6,Rain,18
Station D,2024-01-13T22:00:00,9.9,0.0,-5.9,Rain,18
Station C,2024-01-13T23:00:00,9.7,3.0,11.7,Snow,54
Station B,2024-01-14T00:00:00,5.4,2.5,14.7,Snow,53
Station A,2024-01-14T01:00:00,6.9,3.7,16.0,Snow,67
Station C,2024-01-14T02:00:00,0.0,0.0,34.7,Clear,26
Station D,2024-01-14T03:00:00,0.0,0.0,-7.3,Cloudy,14
Station C,2024-01-14T04:00:00,5.5,4.7,27.6,Snow,18
Station B,2024-01-14T05:00:00,0.0,0.0,-3.8,Clear,95
Station A,2024-01-14T06:00:00,1.1,2.9,-7.6,Snow,47
Station B,2024-01-14T07:00:00,0.8,0.0,-6.4,Rain,18
Station B,2024-01-14T08:00:00,5.3,4.7,-3.7,Snow,95
Station C,2024-01-14T09:00:00,0.1,0.6,19.0,Snow,100
Station B,2024-01-14T10:00:00,0.0,0.0,7.8,Cloudy,1
Station C,2024-01-14T11:00:00,9.3,0.0,0.2,Rain,90
Station D,2024-01-14T12:00:00,0.0,0.0,-0.5,Cloudy,95
Station D,2024-01-14T13:00:00,0.0,0.0,33.9,Cloudy,95
Station D,2024-01-14T14:00:00,4.1,1.9,19.4,Snow,40
Station D,2024-01-14T15:00:00,0.0,0.0,-5.1,Cloudy,34
Station C,2024-01-14T16:00:00,0.0,0.0,2.7,Clear,30
Station B,2024-01-14T17:00:00,0.0,0.0,30.9,Clear,96
Station A,2024-01-14T18:00:00,0.0,0.0,-6.2,Cloudy,34
Station D,2024-01-14T19:00:00,0.0,0.0,4.2,Clear,6
Station C,2024-01-14T20:00:00,7.5,3.6,-1.2,Snow,64
Station D,2024-01-14T21:00:00,0.0,0.0,26.3,Clear,64
Station D,2024-01-14T22:00:00,0.4,0.8,29.1,Snow,75
Station A,2024-01-14T23:00:00,0.0,0.0,26.3,Cloudy,27
Station B,2024-01-15T00:00:00,3.4,0.0,25.3,Rain,57
Station D,2024-01-15T01:00:00,0.0,0.0,34.9,Cloudy,26
Station D,2024-01-15T02:00:00,0.0,0.0,-3.6,Clear,1
Station A,2024-01-15T03:00:00,3.0,0.3,-2.4,Snow,40
Station A,2024-01-15T04:00:00,0.0,0.0,22.0,Clear,22
Station C,2024-01-15T05:00:00,9.4,4.9,31.6,Snow,83
Station C,2024-01-15T06:00:00,9.2,0.6,28.6,Snow,52
Station A,2024-01-15T07:00:00,8.8,5.0,10.3,Snow,64
Station B,2024-01-15T08:00:00,0.0,0.0,28.4,Clear,19
Station D,2024-01-15T09:00:00,0.0,0.0,7.5,Clear,28
Station D,2024-01-15T10:00:00,8.2,0.5,14.1,Snow,82
Station D,2024-01-15T11:00:00,0.0,0.0,4.8,Cloudy,51
Station D,2024-01-15T12:00:00,0.0,0.0,23.4,Cloudy,89
Station A,2024-01-15T13:00:00,0.0,0.0,-3.5,Cloudy,60
Station A,2024-01-15T14:00:00,3.6,2.2,32.1,Snow,7
Station B,2024-01-15T15:00:00,0.0,0.0,20.8,Clear,97
Station B,2024-01-15T16:00:00,0.0,0.0,-6.9,Clear,18
Station D,2024-01-15T17:00:00,8.9,0.9,-0.4,Snow,67
Station C,2024-01-15T18:00:00,9.4,0.0,-1.1,Rain,21
Station B,2024-01-15T19:00:00,5.7,4.1,31.1,Snow,45
Station B,2024-01-15T20:00:00,9.4,0.0,34.4,Rain,85
Station D,2024-01-15T21:00:00,0.0,0.0,28.9,Cloudy,63
Station A,2024-01-15T22:00:00,6.4,2.9,18.5,Snow,16
Station B,2024-01-15T23:00:00,1.7,1.9,14.6,Snow,89
Station A,2024-01-16T00:00:00,9.0,0.0,-9.3,Rain,46
Station D,2024-01-16T01:00:00,3.5,2.7,8.5,Snow,52
Station B,2024-01-16T02:00:00,5.5,0.8,6.8,Snow,54
Station D,2024-01-16T03:00:00,9.3,0.0,17.9,Rain,89
Station A,2024-01-16T04:00:00,0.0,0.0,32.0,Clear,78
Station A,2024-01-16T05:00:00,0.3,1.4,16.2,Snow,64
Station D,2024-01-16T06:00:00,4.7,0.6,-1.2,Snow,14
Station D,2024-01-16T07:00:00,0.0,0.0,25.2,Clear,47
Station C,2024-01-16T08:00:00,0.0,0.0,20.3,Rain,53
Station A,2024-01-16T09:00:00,0.0,0.0,27.8,Cloudy,47
Station B,2024-01-16T10:00:00,3.9,3.1,15.0,Snow,30
Station D,2024-01-16T11:00:00,0.0,0.0,7.6,Cloudy,81
Station B,2024-01-16T12:00:00,8.0,2.5,-5.5,Snow,29
Station C,2024-01-16T13:00:00,0.0,0.0,-0.8,Cloudy,41
Station A,2024-01-16T14:00:00,0.0,0.0,17.8,Cloudy,3
Station D,2024-01-16T15:00:00,0.0,0.0,23.0,Clear,95
Station B,2024-01-16T16:00:00,0.0,0.0,-1.3,Cloudy,38
Station A,2024-01-16T17:00:00,6.3,0.0,32.1,Rain,10
Station D,2024-01-16T18:00:00,0.0,0.0,-3.6,Clear,13
Station A,2024-01-16T19:00:00,2.1,0.5,31.1,Snow,46
Station D,2024-01-16T20:00:00,0.0,0.0,20.9,Clear,26
Station D,2024-01-16T21:00:00,0.0,0.0,3.4,Cloudy,23
Station C,2024-01-16T22:00:00,6.0,0.0,34.8,Rain,61
Station C,2024-01-16T23:00:00,0.0,0.0,17.3,Clear,24
Station B,2024-01-17T00:00:00,0.0,0.0,-4.8,Cloudy,46
Station B,2024-01-17T01:00:00,0.0,0.0,22.7,Cloudy,10
Station D,2024-01-17T02:00:00,0.0,0.0,5.7,Cloudy,11
Station D,2024-01-17T03:00:00,9.2,1.3,32.6,Snow,65
Station A,2024-01-17T04:00:00,9.5,0.0,25.7,Rain,21
Station D,2024-01-17T05:00:00,6.1,0.0,18.0,Rain,40
Station C,2024-01-17T06:00:00,4.5,0.0,26.9,Rain,80
Station D,2024-01-17T07:00:00,6.5,0.0,27.2,Rain,77
Station A,2024-01-17T08:00:00,0.0,0.0,26.4,Clear,23
Station B,2024-01-17T09:00:00,0.0,0.0,19.6,Clear,27
Station A,2024-01-17T10:00:00,0.0,0.0,21.0,Clear,40
